date,state,cases,deaths
2020-06-06,PW,0,0
2020-03-30,FL,851,22
2021-03-19,OK,243,3
2021-03-17,UT,699,5
2020-10-14,WV,263,4
2021-04-27,PR,812,13
2021-07-17,NYC,593,4
2021-04-06,PR,1535,2
2020-12-04,CO,5013,18
2021-01-14,MA,5955,70
2021-01-03,HI,122,0
2020-02-21,CO,0,0
2020-02-01,PR,0,0
2020-07-13,GA,3790,25
2020-06-05,AR,226,1
2021-02-15,TX,3889,160
2020-03-26,CO,344,5
2021-07-06,CO,146,0
2021-06-24,TX,2240,13
2021-07-03,AK,39,0
2021-06-26,PW,0,0
2020-06-25,HI,16,0
2020-06-08,WV,17,0
2021-09-06,AS,0,0
2021-06-14,CO,237,1
2021-03-30,KS,0,0
2020-04-14,WV,68,1
2021-01-30,PW,0,0
2020-06-13,MA,259,27
2020-09-21,AK,70,1
2021-04-04,KS,0,0
2021-05-26,GA,549,36
2020-04-11,UT,104,1
2020-04-23,PW,0,0
2021-08-05,AR,2777,17
2021-04-02,GA,1582,57
2020-05-18,UT,154,5
2021-05-20,KS,202,0
2021-08-23,WV,830,4
2020-07-07,PR,195,4
2021-01-30,AR,1824,7
2020-08-27,MP,0,0
2020-11-11,CO,3975,16
2020-03-15,TX,34,1
2021-05-19,HI,95,0
2020-11-10,PR,1076,10
2021-07-05,PW,0,0
2021-06-17,NYC,250,4
2020-11-29,AR,1221,21
2020-03-12,UT,1,0
2021-08-14,HI,764,1
2020-07-02,UT,535,8
2021-03-02,UT,487,9
2021-05-17,MA,299,19
2020-04-03,MA,1436,39
2021-02-27,TX,11093,113
2020-06-14,PW,0,0
2020-06-18,WV,42,0
2020-06-26,FL,9515,47
2021-06-09,AR,201,2
2020-11-14,AS,0,0
2020-06-27,AS,0,0
2020-02-27,HI,0,0
2020-10-22,HI,99,3
2020-03-06,OK,2,0
2020-02-10,WV,0,0
2020-11-05,TX,10171,149
2021-02-25,CO,1119,8
2020-10-24,CO,1828,7
2021-06-03,MA,258,7
2021-04-21,CO,1492,4
2021-07-27,PW,0,0
2021-08-11,MP,0,0
2020-02-03,MA,0,0
2021-01-15,OK,2722,54
2020-05-29,GA,626,-2
2020-05-07,NYC,1529,167
2020-03-26,PR,43,0
2021-03-20,FL,3957,51
2021-02-08,AR,637,30
2021-09-07,OK,1300,23
2020-06-06,AR,450,2
2021-05-14,CO,1565,9
2020-01-25,GA,0,0
2020-06-05,UT,237,1
2020-07-07,KS,0,0
2021-02-11,NYC,4762,72
2021-06-03,UT,343,3
2020-07-25,AR,732,5
2021-01-05,PW,0,0
2021-07-15,PR,196,1
2020-02-11,PR,0,0
2020-11-23,MP,0,0
2020-07-13,OK,462,1
2020-07-23,FL,12270,227
2020-02-11,AK,0,0
2020-11-30,FL,8644,77
2020-09-26,MA,569,21
2021-02-01,PW,0,0
2021-05-31,AS,0,0
2021-06-16,WV,90,5
2021-04-09,KS,469,6
2020-06-13,FL,2131,26
2021-05-24,PR,8,4
2020-05-18,NYC,503,101
2021-09-03,GA,12018,114
2020-07-27,MP,1,0
2020-04-25,OK,102,5
2020-12-15,HI,52,0
2020-07-23,AR,1013,6
2021-03-08,MA,988,38
2020-07-28,GA,4399,54
2020-11-15,HI,0,0
2020-12-16,PW,0,0
2021-02-19,AR,268,13
2020-07-21,PR,322,6
2020-09-23,GA,1691,96
2021-03-19,PR,304,7
2021-07-18,PR,114,2
2020-08-17,WV,68,0
2021-05-09,WV,405,0
2020-09-12,MA,554,8
2021-01-31,FL,5586,162
2021-08-10,FL,24745,254
2020-05-27,GA,709,35
2020-09-30,AR,942,19
2021-07-12,AR,671,3
2021-06-12,OK,187,24
2020-08-21,HI,280,0
2021-02-16,GA,2895,246
2021-08-02,NYC,1590,11
2021-04-06,OK,289,5
2020-10-13,NYC,331,7
2021-02-18,FL,6608,110
2020-07-27,TX,4267,239
2020-02-23,FL,0,0
2021-01-25,AR,636,44
2021-01-07,MP,0,0
2020-08-10,TX,4455,193
2021-08-23,OK,1676,19
2020-03-21,GA,86,6
2020-04-25,KS,279,6
2020-05-23,TX,1060,16
2021-08-10,MA,1334,14
2020-06-12,TX,2097,34
2021-01-06,MP,0,0
2020-09-23,MP,0,0
2021-04-04,UT,344,60
2021-03-29,TX,3589,46
2020-09-07,OK,565,12
2020-12-08,PR,1084,18
2021-01-22,UT,2649,24
2020-03-04,GA,2,0
2021-08-01,AK,234,0
2021-01-18,UT,1082,7
2021-07-23,OK,1322,1
2020-04-19,CO,201,10
2020-02-01,FL,0,0
2021-05-17,AS,0,0
2020-07-07,MP,0,0
2020-06-26,CO,317,4
2021-04-08,GA,1490,69
2020-07-29,MA,356,14
2021-03-22,OK,221,5
2020-10-31,WV,470,6
2020-06-15,TX,1254,30
2020-05-05,PW,0,0
2020-11-17,CO,4331,30
2021-03-02,OK,484,12
2020-09-30,OK,1086,13
2020-04-21,OK,157,10
2020-09-20,UT,817,1
2020-08-07,NYC,319,7
2020-04-12,WV,20,2
2020-09-09,OK,1357,8
2021-05-09,KS,114,0
2020-07-13,MP,0,0
2021-02-28,WV,275,3
2020-01-23,AR,0,0
2020-11-02,CO,4797,7
2020-07-20,MP,0,0
2021-09-05,UT,1164,6
2020-07-04,MA,163,20
2020-06-02,OK,192,2
2020-09-27,HI,90,0
2020-07-27,KS,1063,9
2021-01-20,NYC,5958,79
2021-02-12,CO,1731,9
2020-03-03,AK,0,0
2021-06-20,TX,526,20
2021-05-22,TX,1353,23
2021-07-14,CO,388,8
2020-10-17,AR,883,19
2020-06-20,UT,574,-1
2021-05-01,AS,0,0
2020-07-21,AR,738,11
2020-03-30,HI,22,0
2020-02-17,KS,0,0
2021-02-06,FL,6624,157
2020-09-04,FL,3653,107
2020-08-12,KS,817,8
2021-06-16,TX,1433,19
2020-02-28,UT,0,0
2021-08-26,PR,916,10
2020-12-18,NYC,3569,40
2020-02-02,AS,0,0
2020-04-13,HI,6,0
2021-04-21,FL,6615,64
2021-07-10,FL,5074,30
2021-08-26,UT,1491,10
2020-07-09,KS,0,0
2020-11-08,HI,127,1
2021-07-26,AK,179,0
2020-06-14,NYC,427,26
2020-07-30,NYC,333,13
2021-08-31,AK,606,4
2021-03-08,OK,270,6
2020-02-26,PW,0,0
2020-06-13,GA,1043,28
2020-05-09,TX,1251,27
2021-08-31,UT,1218,6
2020-04-14,OK,108,7
2021-08-30,UT,1111,3
2020-08-31,KS,1564,3
2021-05-17,CO,689,0
2021-08-09,MP,0,0
2021-03-22,PR,41,1
2020-09-16,UT,764,-1
2021-01-02,AR,2000,18
2020-03-24,GA,182,7
2020-09-21,TX,9853,72
2021-08-01,PW,0,0
2020-05-04,AR,38,4
2021-04-23,AS,0,0
2020-11-20,FL,8169,78
2021-08-30,MA,1435,4
2020-04-29,MP,0,0
2021-08-10,AK,239,1
2020-05-07,MA,1696,132
2020-08-18,MA,175,12
2020-09-03,MA,415,11
2021-03-06,PR,195,2
2021-02-26,AK,102,0
2021-02-10,NYC,5607,86
2020-06-23,UT,525,3
2021-02-07,AK,212,0
2021-08-22,TX,11832,66
2021-09-04,NYC,1499,11
2021-05-02,FL,3137,52
2020-06-10,OK,282,4
2021-05-17,HI,67,0
2021-05-16,AK,43,0
2021-01-13,KS,4539,100
2020-11-28,MP,0,0
2020-02-02,OK,0,0
2021-07-08,TX,4043,0
2020-05-07,TX,968,35
2020-02-05,AK,0,0
2021-06-25,KS,144,8
2021-08-12,NYC,2032,9
2020-02-29,GA,2,0
2021-08-14,TX,26454,117
2021-04-14,MP,1,0
2021-07-13,AS,0,0
2021-03-07,PW,0,0
2021-05-10,AK,78,0
2020-02-03,UT,0,0
2020-08-05,MA,338,14
2020-05-03,TX,1026,35
2020-09-21,KS,1674,4
2020-12-17,OK,3804,62
2021-05-29,WV,142,0
2020-09-13,OK,617,9
2021-06-07,TX,505,18
2021-01-05,KS,0,0
2021-09-06,MP,0,0
2020-01-31,AS,0,0
2021-02-10,CO,751,24
2021-08-05,MA,1171,2
2021-05-05,UT,480,2
2020-07-13,HI,22,3
2020-07-11,TX,10351,200
2020-06-02,UT,252,-1
2021-01-29,PW,0,0
2020-07-28,KS,0,0
2021-06-03,TX,1862,18
2020-07-12,KS,0,0
2021-08-30,AR,882,33
2021-07-11,HI,91,0
2020-10-11,PR,203,8
2021-05-11,PR,308,7
2021-05-19,KS,259,13
2020-02-26,UT,0,0
2020-02-02,PW,0,0
2020-05-31,NYC,655,51
2020-04-08,UT,112,0
2021-07-31,FL,17759,139
2020-03-01,AK,0,0
2020-05-08,HI,2,0
2020-06-27,PR,45,1
2021-06-15,PW,0,0
2020-07-08,AS,0,0
2020-07-30,AR,791,8
2021-05-11,HI,58,0
2020-09-04,CO,368,11
2021-07-21,OK,1581,4
2020-03-26,PW,0,0
2021-02-20,HI,61,0
2020-10-05,FL,2264,42
2020-06-22,MA,136,21
2021-07-07,WV,67,0
2020-04-14,AK,8,0
2020-08-31,FL,7371,114
2021-01-08,PW,0,0
2020-09-28,OK,883,10
2020-06-22,AS,0,0
2020-08-01,AS,0,0
2021-02-05,AK,160,0
2021-07-16,MP,0,0
2021-08-11,GA,6958,32
2021-02-28,MA,1468,39
2020-08-20,NYC,310,1
2021-03-19,AK,63,0
2020-12-25,PW,0,0
2020-08-16,PW,0,0
2020-10-02,OK,1172,13
2020-03-06,AS,0,0
2020-10-01,AK,138,2
2020-03-23,AK,13,0
2020-07-28,FL,9290,226
2021-06-26,MA,56,2
2021-04-15,FL,7237,61
2021-03-17,MP,0,0
2020-09-12,WV,347,2
2021-04-26,HI,65,0
2021-08-30,CO,1096,8
2020-04-16,GA,989,45
2020-07-02,AK,38,0
2020-03-26,AK,14,2
2021-01-07,GA,9790,65
2020-02-01,AK,0,0
2020-04-30,TX,1033,31
2020-06-19,HI,12,0
2021-05-11,UT,224,11
2021-07-26,MP,2,0
2020-07-03,CO,260,0
2020-03-17,KS,5,0
2020-11-06,AK,511,0
2021-02-03,UT,1591,12
2021-08-16,HI,522,0
2020-10-12,KS,2055,8
2021-07-09,MP,1,0
2021-06-25,PR,50,1
2021-04-15,AS,0,0
2020-11-18,TX,10987,159
2020-06-12,WV,32,2
2020-07-20,AR,699,6
2020-08-13,MP,0,0
2020-11-10,UT,2517,11
2020-05-16,AK,4,0
2021-06-15,CO,391,10
2021-07-30,CO,818,10
2020-02-23,AK,0,0
2021-06-11,KS,135,3
2020-07-20,MA,174,9
2021-07-23,KS,770,21
2020-11-08,TX,6878,129
2020-12-21,TX,10280,232
2021-04-02,AR,144,3
2020-08-03,MP,1,0
2021-04-13,PR,1550,4
2021-06-23,MA,68,5
2020-05-27,UT,157,3
2021-08-20,CO,1312,11
2020-05-30,CO,485,7
2020-06-13,AS,0,0
2021-08-05,HI,635,0
2021-06-30,PW,0,0
2020-12-03,KS,0,0
2020-03-13,AK,1,0
2021-02-10,TX,12897,228
2020-01-25,CO,0,0
2021-01-04,KS,3572,18
2021-05-15,TX,1983,39
2021-02-23,AS,0,0
2020-02-25,FL,0,0
2021-07-12,TX,537,0
2020-12-21,NYC,3249,34
2020-09-05,MA,438,12
2020-11-16,AK,561,1
2021-04-15,WV,393,16
2020-10-19,GA,1134,19
2020-09-29,AR,706,19
2020-08-14,WV,123,4
2020-06-20,NYC,386,19
2020-06-30,AK,36,0
2020-09-24,GA,1608,49
2020-12-26,OK,1517,47
2021-02-25,NYC,4537,78
2020-06-09,TX,1637,34
2020-09-30,PR,336,11
2020-09-09,PW,0,0
2021-05-07,MA,976,8
2021-06-02,WV,109,3
2021-07-19,CO,425,6
2021-05-12,GA,921,41
2020-05-26,WV,72,1
2021-05-08,MP,1,0
2021-01-02,PW,0,0
2021-06-07,MA,112,4
2021-08-15,GA,6466,12
2020-04-01,MA,1118,36
2021-08-05,FL,24165,208
2020-04-15,UT,184,1
2020-11-07,CO,3498,13
2020-04-10,WV,51,0
2020-12-30,PR,802,12
2021-01-16,MA,5799,65
2021-02-27,AS,0,0
2020-11-02,KS,4096,17
2020-10-28,AR,961,18
2020-11-17,GA,4335,41
2021-03-28,AR,69,5
2021-02-18,NYC,4687,87
2021-07-09,GA,904,16
2020-04-05,MP,0,0
2020-06-13,AR,548,1
2020-11-27,HI,83,3
2021-03-16,AR,396,12
2021-03-21,FL,2958,49
2020-03-09,NYC,7,0
2021-01-24,PR,186,6
2020-05-12,AS,0,0
2021-08-11,WV,546,2
2021-08-21,PR,1018,13
2021-05-16,PW,0,0
2020-06-11,HI,15,0
2020-08-14,FL,6240,167
2020-07-08,PR,244,3
2021-02-09,UT,918,10
2020-09-14,CO,375,2
2020-05-30,WV,17,1
2020-06-26,HI,6,0
2020-09-17,GA,2083,55
2020-03-24,PR,34,2
2020-09-22,FL,2581,73
2020-11-03,PR,800,3
2021-06-08,TX,1792,19
2021-03-24,MA,2121,41
2020-09-05,NYC,302,6
2021-08-27,NYC,1738,9
2020-12-27,CO,1399,18
2021-07-24,KS,495,1
2020-05-24,UT,169,1
2020-06-08,UT,312,5
2020-07-18,PR,287,2
2020-03-20,OK,69,2
